category,match_id,action_id,type_name,result_name,phase,start_x,start_y,end_x,end_y,nearest_opponent_distance,is_box_action,vaep_value__model_A,vaep_value__model_B,vaep_value__model_C,delta_vaep_CA,delta_vaep_BA
space_rewards,4018355,2130,shot_penalty,fail,final_third_creation,94.45625,34.0425,104.43125,32.4275,9.30172,1.0,-0.23656,-0.09893,0.43858,0.67513,0.13763
space_rewards,4018357,2223,shot_penalty,fail,final_third_creation,94.45625,34.0425,104.08125,32.5125,9.83777,1.0,-0.25259,-0.26326,0.37464,0.62723,-0.01067
space_rewards,4018355,2095,keeper_punch,success,final_third_creation,101.19375,34.8075,101.19375,34.8075,1.99962,0.0,-0.3088,0.14836,0.28561,0.59441,0.45716
space_rewards,3998851,1294,freekick_crossed,fail,set_piece,101.36875,11.3475,101.80625,36.5075,9.58458,0.0,0.04375,0.04222,0.51509,0.47133,-0.00154
space_rewards,4018357,933,freekick_crossed,success,set_piece,102.76875,55.7175,91.48125,40.6725,7.67163,0.0,0.04658,0.04798,0.50862,0.46204,0.0014
space_rewards,4020077,165,dribble,success,build_up,14.04375,51.9775,0.04375,62.0925,0.70174,1.0,0.02516,0.0229,0.48413,0.45897,-0.00226
space_rewards,4018357,2159,clearance,success,final_third_creation,98.39375,33.8725,87.45625,45.8575,1.30181,0.0,-0.30014,0.31512,0.14867,0.44881,0.61526
space_rewards,4018355,2125,dribble,success,build_up,6.25625,65.5775,9.58125,65.0675,6.49019,0.0,0.02763,0.06145,0.46405,0.43642,0.03382
space_rewards,4018355,2109,shot,fail,build_up,8.70625,21.4625,0.04375,26.3925,2.65157,1.0,-0.12304,0.10545,0.30465,0.42769,0.22848
space_rewards,3998844,1244,dribble,success,build_up,4.50625,33.4475,4.94375,32.2575,2.09514,1.0,-0.08444,0.00789,0.33203,0.41647,0.09233
space_rewards,3998853,459,dribble,success,final_third_creation,98.74375,33.3625,98.74375,33.3625,1.58832,1.0,-0.19627,-0.20046,0.20419,0.40045,-0.0042
space_rewards,3998850,1259,cross,success,final_third_creation,99.79375,17.7225,100.66875,32.3425,0.64852,1.0,0.1182,0.29946,0.50538,0.38718,0.18127
space_rewards,4018357,1818,freekick_crossed,success,set_piece,95.50625,4.0375,104.25625,38.7175,10.23207,0.0,0.13196,0.0394,0.51495,0.38299,-0.09256
