feature,kind,metric,value
nearest_opponent_distance,continuous,r2,
nearest_teammate_distance,continuous,r2,
defensive_density_around_ball_5m,continuous,r2,0.5432872070967778
defensive_density_around_ball_10m,continuous,r2,0.666182628724638
defensive_density_around_ball_15m,continuous,r2,0.6952883225484232
defensive_density_in_front_of_ball,continuous,r2,0.3944453485548912
n_opponents_ahead_of_ball,continuous,r2,0.5397230000491761
n_opponents_between_ball_and_goal,continuous,r2,0.5813148606199143
n_opponents_visible,continuous,r2,0.5605266852089894
n_teammates_visible,continuous,r2,0.3284589997530789
is_central_zone,binary,roc_auc,0.9999920135898972
is_half_space_left,binary,roc_auc,0.9999680188900901
is_half_space_right,binary,roc_auc,0.9999520719321275
is_wide_zone,binary,roc_auc,0.9999814996569688
is_box_action,binary,roc_auc,0.9998770949851775
is_box_entry,binary,roc_auc,0.9999952502124244
is_final_third_entry,binary,roc_auc,0.9999904253071686
