variant,seed,n_train_rows,n_eval_matched,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
E-VAEP,42,530866,51172,0.8239291361808516,0.28872889579911826,0.06294507255190752,0.8520844083265402,0.18657394045408915,0.018172275460023604
E-VAEP,43,535343,51172,0.8298983945930041,0.2937800624269422,0.062341128805437705,0.8388968538765585,0.19174194242232967,0.018049734048900933
E-VAEP,44,533852,51172,0.8255223895652981,0.30000101196224677,0.06230150789391556,0.8469932404987408,0.17821679332442006,0.018166943869749336
E-VAEP,45,529443,51172,0.8286637942821391,0.29321163444932785,0.06243348822903931,0.8493389807243563,0.22254424639961495,0.017726209570248123
E-VAEP,46,532215,51172,0.826841870698457,0.2872985781278573,0.06272688349236381,0.8445918107227596,0.1715701787408665,0.0181076335787097
E-VAEP,47,532781,51172,0.8275490042728452,0.29737753881749635,0.0623454150985144,0.855526851719569,0.1966737024524971,0.017731025086659583
E-VAEP,48,533025,51172,0.8288924401741515,0.29621806804657713,0.06236754311308211,0.8433037237484557,0.1678705790998059,0.018251474831494925
E-VAEP,49,532296,51172,0.8185222132163961,0.2926265595121867,0.06290844009759726,0.8459151938909573,0.168181992656364,0.017972591556866906
E-VAEP,50,534878,51172,0.8231942316043241,0.29275796519929903,0.06276981813196221,0.8463342661613149,0.1548320582439436,0.018170991075150272
E-VAEP,51,530952,51172,0.8250409242481198,0.30140272924323375,0.06249877096273784,0.85788351695758,0.17671419163607252,0.01790731378135997
P-VAEP,42,530866,51172,0.8284496962630197,0.29457971942628064,0.062470858705206155,0.8588575798576386,0.17062400703118552,0.018122571894425708
P-VAEP,43,535343,51172,0.829015933019989,0.30111702706808136,0.06198298177603133,0.8393417539967336,0.16982758504295986,0.018158712136737337
P-VAEP,44,533852,51172,0.8241929060099245,0.29680449717335794,0.062481619576336356,0.8421286406203167,0.1814082299547568,0.018292704222650648
P-VAEP,45,529443,51172,0.8308203432495865,0.290941715573585,0.062394083162813065,0.8507717820936246,0.17822396567444765,0.017976921894870004
P-VAEP,46,532215,51172,0.8254379219657932,0.29742420673697845,0.06239796296152567,0.8658118264659826,0.18482708704156536,0.017728229457774806
P-VAEP,47,532781,51172,0.8249838508887997,0.29899259112070464,0.06245603751774735,0.8527203000736738,0.19240329849035223,0.017775504634036474
P-VAEP,48,533025,51172,0.826895285820734,0.29943513793067666,0.062372092637140705,0.8514324372021883,0.1751474963704247,0.017894024095493073
P-VAEP,49,532296,51172,0.8173313294458792,0.2916219196477021,0.06299493998819408,0.8532352323245905,0.18372045333486015,0.017851397385285826
P-VAEP,50,534878,51172,0.8266988591526477,0.29226448763941076,0.06261743141384153,0.8605349334274566,0.16137762752647247,0.017803052696565357
P-VAEP,51,530952,51172,0.8253143683518986,0.30201823714156717,0.062445731205128314,0.8650293714756331,0.20109830814938445,0.01765312992689403
