variant,num_leaves,learning_rate,feature_fraction,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
E-VAEP,31,0.03,0.6,295,459240,51172,206,42,lightgbm,0.8287740518451187,0.3004945146687628,0.062137253346510574,0.8623096596718575,0.19313467567159776,0.01744923429493684
E-VAEP,31,0.03,0.8,295,459240,51172,206,42,lightgbm,0.8282063201939425,0.3028711130920592,0.06208386359404316,0.8610792231475802,0.17260494632015913,0.017632747414213883
E-VAEP,31,0.05,0.6,295,459240,51172,206,42,lightgbm,0.8276046070451812,0.2911134014267899,0.06254164645988408,0.8572968157790793,0.16139991345924715,0.017960739502951743
E-VAEP,31,0.05,0.8,295,459240,51172,206,42,lightgbm,0.8236363313740497,0.29294467684181347,0.06266457646764105,0.8637321523114805,0.16983915765722432,0.017999686322428446
E-VAEP,31,0.1,0.6,295,459240,51172,206,42,lightgbm,0.8210541750876001,0.27585032251467195,0.06356818297189279,0.830194437207791,0.11190881446137119,0.019986769665267756
E-VAEP,31,0.1,0.8,295,459240,51172,206,42,lightgbm,0.8216922153809543,0.279151121700532,0.0634442759735145,0.8202955355917294,0.10080138779511794,0.020857410801441448
E-VAEP,63,0.03,0.6,295,459240,51172,206,42,lightgbm,0.8270279303359854,0.2964313638570509,0.062475529627221506,0.8590120987509069,0.2044640129414496,0.017586479627726744
E-VAEP,63,0.03,0.8,295,459240,51172,206,42,lightgbm,0.8259557873492329,0.296447205799963,0.06246358716245469,0.8613769437417886,0.1838546057619733,0.01774071534072549
E-VAEP,63,0.05,0.6,295,459240,51172,206,42,lightgbm,0.8262748804175786,0.28589122092327296,0.06284175545948992,0.8552152367506212,0.1629298872683837,0.018029715133002937
E-VAEP,63,0.05,0.8,295,459240,51172,206,42,lightgbm,0.8267250258780771,0.28775685977866305,0.062757115904111,0.8468467332812293,0.17710461468547958,0.01826521322038257
E-VAEP,63,0.1,0.6,295,459240,51172,206,42,lightgbm,0.8223342663660835,0.27369780382877007,0.06361932910681752,0.8408333263301203,0.1257373510466244,0.019215736464838856
E-VAEP,63,0.1,0.8,295,459240,51172,206,42,lightgbm,0.8251159484915362,0.27577617604332855,0.0634247908579293,0.8187671543704251,0.12748256953466933,0.020480605035165765
E-VAEP,127,0.03,0.6,295,459240,51172,206,42,lightgbm,0.8239687448005332,0.29311397495239194,0.06286281913311083,0.8449246594337483,0.1983685829382521,0.01783393793374754
E-VAEP,127,0.03,0.8,295,459240,51172,206,42,lightgbm,0.8230241904266733,0.2903546350382621,0.06302413130760674,0.8498022012499333,0.15809735458377025,0.018023088869243226
E-VAEP,127,0.05,0.6,295,459240,51172,206,42,lightgbm,0.8187811702153389,0.28294075554065123,0.06341480680949878,0.8496220225839617,0.15968480730368528,0.01814895924512857
E-VAEP,127,0.05,0.8,295,459240,51172,206,42,lightgbm,0.8197809262923573,0.28486219863000817,0.06335008106981874,0.8442170547847351,0.15957836581551976,0.018471867016765408
E-VAEP,127,0.1,0.6,295,459240,51172,206,42,lightgbm,0.8111380799748955,0.2705335090239123,0.06424874652820069,0.8280878146893794,0.12596681793847786,0.01985187946405613
E-VAEP,127,0.1,0.8,295,459240,51172,206,42,lightgbm,0.8152316593799689,0.2720963019293061,0.06418154579241996,0.7959826208264351,0.1234357826679218,0.020778427741461665
P-VAEP,31,0.03,0.6,295,459240,51172,254,42,lightgbm,0.828850534521908,0.3028637439246044,0.06204305923814137,0.8576702271001935,0.16747304223571427,0.017588103736510777
P-VAEP,31,0.03,0.8,295,459240,51172,254,42,lightgbm,0.8262463558915301,0.3000005102972232,0.062224044370547765,0.8605510128046747,0.17801591948342216,0.017548257579171642
P-VAEP,31,0.05,0.6,295,459240,51172,254,42,lightgbm,0.8259841174174986,0.3003007875483045,0.062309871391537056,0.8545336280285394,0.15070219970344728,0.01818181766917756
P-VAEP,31,0.05,0.8,295,459240,51172,254,42,lightgbm,0.8224190742667088,0.29166198888606226,0.06266250001136738,0.8605080971149563,0.1613360548140021,0.018083962836888873
P-VAEP,31,0.1,0.6,295,459240,51172,254,42,lightgbm,0.8220176040200258,0.2887197426783434,0.06312259533175169,0.8461518464671591,0.13231898147776874,0.019877017587746754
P-VAEP,31,0.1,0.8,295,459240,51172,254,42,lightgbm,0.8223001997932184,0.28318026997615525,0.06326907160200627,0.836458559186955,0.14955741432712472,0.019463746147902673
P-VAEP,63,0.03,0.6,295,459240,51172,254,42,lightgbm,0.8286511423726305,0.3032721233588783,0.06212339091268328,0.8652153207891781,0.1875200240546845,0.01745628202740598
