variant,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
E-VAEP,295,459240,51172,206,42,lightgbm,0.8267250258780771,0.28775685977866305,0.062757115904111,0.8468467332812293,0.17710461468547958,0.01826521322038257
E-VAEP,295,457371,51172,206,43,lightgbm,0.8280110116581088,0.295685340851785,0.06240517925604219,0.8557757178993722,0.16047615475142088,0.018273536202841226
E-VAEP,295,455306,51172,206,44,lightgbm,0.8260706389773367,0.2957489268057732,0.062320819932884956,0.8341006053577381,0.1615076821102525,0.018595008885384616
E-VAEP,295,454798,51172,206,45,lightgbm,0.8257013150329112,0.2884582795051083,0.06263167700084017,0.8605185178960107,0.19101928084834097,0.017865516123554935
E-VAEP,295,455475,51172,206,46,lightgbm,0.8250274094321991,0.2923531973145597,0.06264979667761197,0.8501968463130885,0.15879666234839002,0.018289719616839485
E-VAEP,295,454458,51172,206,47,lightgbm,0.8256623870154705,0.29651476041467845,0.062389491468716585,0.8632186767288833,0.17340369079726306,0.018126562863066856
E-VAEP,295,458085,51172,206,48,lightgbm,0.8240918973452502,0.29538193378717814,0.06255078503069009,0.8424205345412474,0.17581237261006485,0.018106102801159086
E-VAEP,295,457369,51172,206,49,lightgbm,0.8252541836680497,0.29623517061182447,0.06270467595941769,0.8549347160477228,0.16723645557614863,0.01797085222822578
E-VAEP,295,457002,51172,206,50,lightgbm,0.827102383359664,0.2908062848466395,0.06259743575234232,0.8473066482902356,0.1909935989297725,0.018000467388092738
E-VAEP,295,454408,51172,206,51,lightgbm,0.8241791845826092,0.2949449707907914,0.06272097144403313,0.8435750002100965,0.1788315338956959,0.018304321893470032
P-VAEP,295,459240,51172,254,42,lightgbm,0.8222429319761152,0.28910470552749734,0.06282538066617492,0.8473530375736388,0.16287225924186935,0.018281980536072176
P-VAEP,295,457371,51172,254,43,lightgbm,0.8230310450635251,0.291666257170738,0.06269745581556915,0.8430257802279686,0.16231666295743147,0.018231917689309117
P-VAEP,295,455306,51172,254,44,lightgbm,0.8213530688537334,0.29550570858278763,0.06255053386812572,0.8468589468848309,0.1472917204937056,0.018352792155282537
P-VAEP,295,454798,51172,254,45,lightgbm,0.8246174681183428,0.28733262970399326,0.06277154007513004,0.8526899341417843,0.1852018900149396,0.018068298077872743
P-VAEP,295,455475,51172,254,46,lightgbm,0.8211194399810307,0.2926838814658326,0.0628340945514493,0.8491999809512605,0.14427786371548185,0.018643038060145372
P-VAEP,295,454458,51172,254,47,lightgbm,0.8238905120036967,0.2945272193097199,0.06252508551160106,0.8439517730734861,0.1856606701694494,0.018078237676157908
P-VAEP,295,458085,51172,254,48,lightgbm,0.8243039049432019,0.2954584049375956,0.0626596696178499,0.8418304718204712,0.17890663958802666,0.018298294155594207
P-VAEP,295,457369,51172,254,49,lightgbm,0.8204917910254572,0.295925450459143,0.06281108822879905,0.8555182797867662,0.17594779728758494,0.017787643198183996
P-VAEP,295,457002,51172,254,50,lightgbm,0.8242142477516122,0.2961273882135923,0.0625423852427963,0.8511193095392167,0.19716045213217873,0.017886424654777425
P-VAEP,295,454408,51172,254,51,lightgbm,0.8233722212438566,0.2914863562740736,0.06297152030821349,0.8496378218326568,0.15407675559458484,0.018187125635219497
PS-VAEP,295,459240,51172,271,42,lightgbm,0.8230742511521928,0.2949903974867253,0.06264452025271809,0.8531233489925177,0.15859739798701245,0.018339990468248676
PS-VAEP,295,457371,51172,271,43,lightgbm,0.8216789314836509,0.2928532751997787,0.06269686342364551,0.8642610909885455,0.16887411908851818,0.018184458999814503
PS-VAEP,295,455306,51172,271,44,lightgbm,0.827124138324141,0.2974466003182381,0.06237338210939238,0.8542287361441429,0.14352372777265815,0.01831172889234226
PS-VAEP,295,454798,51172,271,45,lightgbm,0.8267018003266163,0.28827354551127793,0.06272157981786426,0.8520776852419891,0.18460105729505602,0.018238711371250535
PS-VAEP,295,455475,51172,271,46,lightgbm,0.8252147816597628,0.2902628551754601,0.06261927978985428,0.8472272038411223,0.184433708320744,0.01842645700734356
PS-VAEP,295,454458,51172,271,47,lightgbm,0.8261162514810696,0.29129206399993796,0.06265371704407842,0.8357505063323052,0.19577321921279806,0.017974908578484904
PS-VAEP,295,458085,51172,271,48,lightgbm,0.8257861958552053,0.29326752992308047,0.06263390392257986,0.8498323430790047,0.1731870182231494,0.017966081149471052
PS-VAEP,295,457369,51172,271,49,lightgbm,0.8243007571578391,0.3042773510273494,0.06251372201122747,0.8621113286775973,0.1784500231753572,0.0178308838987055
PS-VAEP,295,457002,51172,271,50,lightgbm,0.826716919419247,0.28925997464038267,0.06275361805521643,0.8571401679090366,0.13558062115327416,0.018772152186832806
PS-VAEP,295,454408,51172,271,51,lightgbm,0.8249473292864238,0.2955558751784061,0.06263271462595625,0.8463867622465189,0.17320626193052188,0.018175715917789458
ES-VAEP,295,459240,51172,223,42,lightgbm,0.8287151311368597,0.29668776974127387,0.062328266902639304,0.8469196227229052,0.16285937281344368,0.018209435380912426
ES-VAEP,295,457371,51172,223,43,lightgbm,0.8251904744368836,0.2864297014882151,0.0628390806306063,0.8472575137473072,0.17827108812801562,0.018337007995417265
ES-VAEP,295,455306,51172,223,44,lightgbm,0.8267961852730559,0.3009293357593204,0.06228490409359676,0.8387357239501483,0.14066272916227365,0.0187332162199818
ES-VAEP,295,454798,51172,223,45,lightgbm,0.8268371429436071,0.29025290814744964,0.06276764203776315,0.853309130228949,0.1936764386942571,0.018066358624699942
ES-VAEP,295,455475,51172,223,46,lightgbm,0.824630083567017,0.29773873434329806,0.06238110983743933,0.8540793716156972,0.17370344246435776,0.01812599502269629
ES-VAEP,295,454458,51172,223,47,lightgbm,0.8237801936726596,0.2936500989157256,0.0626509453911808,0.8379069357021001,0.17585929247559004,0.018272203291111636
ES-VAEP,295,458085,51172,223,48,lightgbm,0.8262679042446123,0.2967654102450569,0.06240950511133514,0.8475293504659938,0.1809779087245087,0.017871062446500368
ES-VAEP,295,457369,51172,223,49,lightgbm,0.8236496395785758,0.2952537542626108,0.06268247043119168,0.8572513789326542,0.2016301998115379,0.017983764622389674
ES-VAEP,295,457002,51172,223,50,lightgbm,0.8249304114592999,0.2944900848541742,0.06247470383227341,0.8501383554774931,0.12476872611793516,0.01881270673335017
ES-VAEP,295,454408,51172,223,51,lightgbm,0.8240214428597351,0.29388636744077207,0.06288478989747162,0.857110922491239,0.1910973820835156,0.01770939204520017
