experiment,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
women_only,95,134571,51172,271,42,lightgbm,0.811155702711483,0.27727058158244317,0.06467026269119364,0.828463635115791,0.14252880050828645,0.0188381552547804
men_only_full,200,321026,51172,271,42,lightgbm,0.8149226295018952,0.28232791821226455,0.06361619836510932,0.8350525381044822,0.14192365346816427,0.018552203692048613
men_only_size_matched,95,150436,51172,271,42,lightgbm,0.802844674293544,0.26577701555713373,0.06551437524949064,0.8061919048459432,0.1348077035059052,0.018939025768560967
pooled_full,295,459240,51172,271,42,lightgbm,0.8230742511521928,0.2949903974867253,0.06264452025271809,0.8531233489925177,0.15859739798701245,0.018339990468248676
pooled_size_matched,190,283174,51172,271,42,lightgbm,0.8157393400370223,0.28708417633765815,0.06360918541853168,0.8358065320368986,0.17140210323197627,0.01817372263472855
pooled_domain_balanced,190,285675,51172,271,42,lightgbm,0.8221632042850717,0.28680891007283893,0.06297144291645819,0.84930060311671,0.1742097526130844,0.01811422411599631
men_international_size_matched,34,52789,51172,271,42,lightgbm,0.8001176955731807,0.27221488347195855,0.06587320110422056,0.8102440199563559,0.13989129142405252,0.018924833897911705
men_club_size_matched,34,56157,51172,271,42,lightgbm,0.7803349826999417,0.24503636846667104,0.0670395429262766,0.7825445194255125,0.03539219968660778,0.02341025345521391
women_only,95,133568,51172,271,43,lightgbm,0.8156955991894513,0.2763224602242542,0.06398267560108208,0.8121877757515147,0.12058078175409227,0.01929049612620626
men_only_full,200,320038,51172,271,43,lightgbm,0.8155781831493338,0.2779183838666069,0.0640662639982564,0.8597823401376551,0.1628297605344622,0.018178616855091825
men_only_size_matched,95,151936,51172,271,43,lightgbm,0.810955885185805,0.2749675494174025,0.06430546904576757,0.8449855593746411,0.18243781260547204,0.01802245645990014
pooled_full,295,457371,51172,271,43,lightgbm,0.8216789314836509,0.2928532751997787,0.06269686342364551,0.8642610909885455,0.16887411908851818,0.018184458999814503
pooled_size_matched,190,289747,51172,271,43,lightgbm,0.818175154688128,0.29779228091513127,0.06266060457287753,0.8405804823252907,0.17494120673607255,0.01835987157210197
