source,frac,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
men,0.1,20,32761,51172,271,42,lightgbm,0.7784951325393865,0.24349043612930374,0.07068539133461006,0.7824652990792176,0.13231865702674012,0.018944467081995525
men,0.1,20,31603,51172,271,43,lightgbm,0.7240960903411968,0.22821916850494978,0.0716590847036734,0.5845105734510996,0.00933117009006674,0.022586844436518733
men,0.1,20,30784,51172,271,44,lightgbm,0.7690181838688275,0.2406218384869975,0.0720670681671933,0.6938452962219066,0.01642112314389121,0.0221132688623057
men,0.1,20,31215,51172,271,45,lightgbm,0.7818410217686981,0.2504553471080034,0.07283364931059337,0.790028993302127,0.14142439014078417,0.018828020134116226
men,0.25,50,77634,51172,271,42,lightgbm,0.7845604166355231,0.25571052832042335,0.06769974585292507,0.7961843693886757,0.10381198361130853,0.020188405545394472
men,0.25,50,76927,51172,271,43,lightgbm,0.7900002880405911,0.26197139978362255,0.0659137592866278,0.697255412783385,0.12975174850036408,0.01957118868672978
men,0.25,50,80271,51172,271,44,lightgbm,0.8065166692250019,0.26815926563107084,0.06591660598573601,0.8090469747520164,0.05083356433423171,0.021423500881195427
men,0.25,50,80412,51172,271,45,lightgbm,0.7861024790085862,0.24609218330420904,0.06701934081813339,0.7511145473543261,0.14190135364577922,0.019684644540184922
men,0.5,100,161105,51172,271,42,lightgbm,0.7955817368653186,0.2745192325836675,0.06522731558722197,0.7874887878558683,0.13611409439978456,0.01973498258652703
men,0.5,100,158718,51172,271,43,lightgbm,0.8130187784234992,0.27233107183903227,0.0644626470361322,0.8074623437233002,0.1272369067266991,0.01927312430135856
men,0.5,100,163831,51172,271,44,lightgbm,0.8139622025114952,0.28421725177575635,0.06399338853175031,0.8176091590821868,0.13231351386488394,0.01892086856980839
men,0.5,100,163339,51172,271,45,lightgbm,0.8123913117720974,0.27103205929241664,0.06419607634911022,0.8279093167945454,0.10689932105051538,0.019633411136559732
men,0.75,150,235557,51172,271,42,lightgbm,0.8119737866047027,0.27975798352311354,0.06371571464331088,0.8425244061975634,0.1906324395555843,0.018032941204106274
men,0.75,150,242724,51172,271,43,lightgbm,0.8158315373334029,0.2745365577627375,0.06443882582755452,0.8341603847845392,0.17449733090772135,0.01827527920058687
men,0.75,150,241353,51172,271,44,lightgbm,0.8201486945745184,0.28417190692404204,0.0637106419352534,0.8475945643861403,0.17425060650277194,0.01807348174215187
men,0.75,150,239427,51172,271,45,lightgbm,0.8161638535309947,0.28253086650668485,0.06365778730240511,0.8447449849991175,0.12709978081862985,0.01919055143603232
men,1.0,200,321026,51172,271,42,lightgbm,0.8149226295018952,0.28232791821226455,0.06361619836510932,0.8350525381044822,0.14192365346816427,0.018552203692048613
men,1.0,200,320038,51172,271,43,lightgbm,0.8155781831493338,0.2779183838666069,0.0640662639982564,0.8597823401376551,0.1628297605344622,0.018178616855091825
men,1.0,200,323156,51172,271,44,lightgbm,0.8175600239523374,0.27934485257209696,0.06378023057363642,0.835073939923637,0.14898121212596432,0.018867065975418706
men,1.0,200,321733,51172,271,45,lightgbm,0.8205765746188597,0.2876791691413728,0.06292693546290422,0.8453981886889705,0.1454638049451626,0.019201372140489007
women,0.1,10,13146,51172,271,42,lightgbm,0.7371949002960254,0.1799879414685659,0.07381345694211286,0.7174344709352651,0.010560174217829524,0.022760449640699707
women,0.1,10,13633,51172,271,43,lightgbm,0.7494992529782729,0.23242903240004748,0.06956025362577681,0.7098052266379815,0.009719986177775872,0.026549524154474324
women,0.1,10,11491,51172,271,44,lightgbm,0.7728454411864258,0.1813470966409584,0.07046869366672608,0.7072503984828239,0.017988714921933914,0.02176323241488466
women,0.1,10,11850,51172,271,45,lightgbm,0.7738484787385328,0.23162878068110468,0.0694907107779527,0.8114837007218914,0.12498808738810714,0.022075244446813053
women,0.25,24,31768,51172,271,42,lightgbm,0.7866419292059426,0.25089726547214014,0.06635015850303774,0.7120509049551935,0.013507712010326252,0.021747247437003573
women,0.25,24,32979,51172,271,43,lightgbm,0.7733679614030469,0.25514365209109385,0.0671480811119028,0.7559659251664664,0.03422511100542988,0.023021199943268
women,0.25,24,32924,51172,271,44,lightgbm,0.7629256270686207,0.2453415810700377,0.06856091091578073,0.7374304931102389,0.12618471933920186,0.01996891346295702
women,0.25,24,34916,51172,271,45,lightgbm,0.7606301380151963,0.24786384105491788,0.06847010834783017,0.6208082268144625,0.018304886572909903,0.022017277141190013
women,0.5,48,68302,51172,271,42,lightgbm,0.7959108566631021,0.26512616735549077,0.06603201712372993,0.7616546631594575,0.1582922472478746,0.019763578988761944
women,0.5,48,66537,51172,271,43,lightgbm,0.7891482955714548,0.25137482319246224,0.06693275815486585,0.6868902652536985,0.03995884601196548,0.021497166319045063
women,0.5,48,68799,51172,271,44,lightgbm,0.7891539713079971,0.2673315119033806,0.06598731597026707,0.7949805450740799,0.13647644215521915,0.019086289212963563
