competition_name,season_name,competition_gender,n_matches,n_matches_with_360,total_events,total_360_frames
FA Women's Super League,2018/2019,female,108,0,360362,0
FA Women's Super League,2019/2020,female,87,0,292255,0
FA Women's Super League,2020/2021,female,131,0,443304,0
NWSL,2018,female,36,0,114163,0
UEFA Women's Euro,2022,female,31,31,105157,85046
UEFA Women's Euro,2025,female,31,31,105611,90722
Women's World Cup,2019,female,52,0,176445,0
Women's World Cup,2023,female,64,64,226146,199259
1. Bundesliga,2015/2016,male,306,0,1069866,0
1. Bundesliga,2023/2024,male,34,34,137765,118581
African Cup of Nations,2023,male,52,0,162910,0
Champions League,1970/1971,male,1,0,3529,0
Champions League,1971/1972,male,1,0,3027,0
Champions League,1972/1973,male,1,0,3195,0
Champions League,1999/2000,male,1,0,3384,0
Champions League,2003/2004,male,1,0,3223,0
Champions League,2004/2005,male,1,0,4648,0
Champions League,2006/2007,male,1,0,3064,0
Champions League,2008/2009,male,1,0,3329,0
Champions League,2009/2010,male,1,0,3410,0
Champions League,2010/2011,male,1,0,4326,0
Champions League,2011/2012,male,1,0,4695,0
Champions League,2012/2013,male,1,0,3338,0
Champions League,2013/2014,male,1,0,4263,0
Champions League,2014/2015,male,1,0,3433,0
Champions League,2015/2016,male,1,0,4708,0
Champions League,2016/2017,male,1,0,3400,0
Champions League,2017/2018,male,1,0,3497,0
Champions League,2018/2019,male,1,0,3165,0
Copa America,2024,male,32,0,100305,0
Copa del Rey,1977/1978,male,1,0,2917,0
Copa del Rey,1982/1983,male,1,0,2557,0
Copa del Rey,1983/1984,male,1,0,2596,0
FIFA U20 World Cup,1979,male,1,0,3245,0
FIFA World Cup,1958,male,2,0,7341,0
FIFA World Cup,1962,male,1,0,3754,0
FIFA World Cup,1970,male,6,0,20029,0
FIFA World Cup,1974,male,6,0,19259,0
FIFA World Cup,1986,male,3,0,8466,0
FIFA World Cup,1990,male,1,0,3140,0
FIFA World Cup,2018,male,64,0,227849,0
FIFA World Cup,2022,male,64,64,234652,203887
Indian Super league,2021/2022,male,115,0,344671,0
La Liga,1973/1974,male,1,0,2974,0
La Liga,2004/2005,male,7,0,22204,0
La Liga,2005/2006,male,17,0,57668,0
La Liga,2006/2007,male,26,0,92656,0
La Liga,2007/2008,male,28,0,100680,0
La Liga,2008/2009,male,31,0,107089,0
La Liga,2009/2010,male,35,0,128395,0
La Liga,2010/2011,male,33,0,130899,0
La Liga,2011/2012,male,37,0,145993,0
La Liga,2012/2013,male,32,0,130457,0
La Liga,2013/2014,male,31,0,118016,0
La Liga,2014/2015,male,38,0,142957,0
La Liga,2015/2016,male,380,0,1295354,0
La Liga,2016/2017,male,34,0,124813,0
La Liga,2017/2018,male,36,0,136538,0
La Liga,2018/2019,male,34,0,131702,0
La Liga,2019/2020,male,33,0,129058,0
La Liga,2020/2021,male,35,0,139030,0
Liga Profesional,1981,male,1,0,3086,0
Liga Profesional,1997/1998,male,1,0,3572,0
Ligue 1,2015/2016,male,377,0,1358596,0
Ligue 1,2021/2022,male,26,0,101768,0
Ligue 1,2022/2023,male,32,0,129490,0
Major League Soccer,2023,male,6,0,21786,0
North American League,1977,male,1,0,3205,0
Premier League,2003/2004,male,38,0,129401,0
Premier League,2015/2016,male,380,0,1313783,0
Serie A,1986/1987,male,1,0,3005,0
Serie A,2015/2016,male,380,0,1353739,0
UEFA Euro,2020,male,51,51,192692,166892
UEFA Euro,2024,male,51,51,187858,163521
UEFA Europa League,1988/1989,male,3,0,10086,0
