model_id,rank_total,player_name,team_name,minutes_played,n_actions,sum_offensive,sum_defensive,sum_vaep,off_per90,def_per90,vaep_per90,rank_off,rank_def
model_A,1.0,Chloe Kelly,England Women's,294,187,1.7436,1.0705,2.8142,0.5338,0.3277,0.8615,6.0,2.0
model_A,2.0,Onema Grace Geyoro,France Women's,343,289,2.2238,1.0405,3.2643,0.5835,0.273,0.8565,4.0,4.0
model_A,3.0,Victoria Pelova,Netherlands Women's,284,210,2.2857,0.2731,2.5588,0.7244,0.0865,0.8109,1.0,11.0
model_A,4.0,Sjoeke Nüsken,Germany Women's,419,328,1.7492,1.735,3.4842,0.3757,0.3727,0.7484,16.0,1.0
model_A,5.0,Kosovare Asllani,Sweden Women's,293,210,1.9899,0.4004,2.3902,0.6112,0.123,0.7342,3.0,10.0
model_A,6.0,Claudia Pina Medina,Spain Women's,359,419,2.5324,0.2924,2.8247,0.6349,0.0733,0.7082,2.0,13.0
model_A,7.0,Sakina Karchaoui,France Women's,336,377,1.4268,1.1176,2.5444,0.3822,0.2993,0.6815,14.0,3.0
model_A,8.0,María Francesca Caldentey Oliver,Spain Women's,532,792,2.6596,0.9251,3.5847,0.4499,0.1565,0.6064,9.0,8.0
model_A,9.0,Natalia Kuikka,WNT Finland,294,342,1.0488,0.8165,1.8652,0.3211,0.2499,0.571,24.0,5.0
model_A,10.0,Frida Maanum,Norway Women's,284,190,1.764,0.0053,1.7693,0.559,0.0017,0.5607,5.0,47.0
model_A,11.0,Lauren James,England Women's,412,356,2.1551,0.3807,2.5357,0.4708,0.0832,0.5539,8.0,12.0
model_A,12.0,Alexia Putellas Segura,Spain Women's,576,762,2.2803,1.1357,3.416,0.3563,0.1775,0.5338,22.0,7.0
model_A,13.0,Sveindís Jane Jónsdóttir,Iceland Women's,297,161,1.7402,0.0035,1.7437,0.5273,0.0011,0.5284,7.0,49.0
model_A,14.0,Klara Bühl,Germany Women's,552,444,1.5747,1.4254,3.0002,0.2568,0.2324,0.4892,35.0,6.0
