player_id,player_name,team_name,rank_total_model_A,rank_off_model_A,rank_def_model_A,vaep_per90_model_A,rank_total_model_ES,rank_off_model_ES,rank_def_model_ES,vaep_per90_model_ES,delta_total,delta_off,delta_def
49695,Emma Severini,Italy Women's,111.0,105.0,110.0,-0.27939208620102657,32.0,51.0,4.0,0.20265465962089454,79.0,54.0,106.0
10654,Jackie Groenen,Netherlands Women's,61.0,61.0,59.0,0.02910467684052406,112.0,114.0,43.0,-0.6168591826843346,-51.0,-53.0,16.0
10388,Laura Deloose,Belgium Women's,67.0,73.0,51.0,0.002967853555256926,115.0,113.0,104.0,-0.701273353339874,-48.0,-40.0,-53.0
30969,Elisa De Almeida,France Women's,44.0,54.0,16.0,0.12190996968941711,88.0,95.0,26.0,-0.17696842683046723,-44.0,-41.0,-10.0
46331,Elisabetta Oliviero,Italy Women's,28.0,27.0,70.0,0.2844682324291816,69.0,75.0,58.0,-0.09273775951362512,-41.0,-48.0,12.0
46880,Giovanna Hoffmann,Germany Women's,105.0,113.0,56.0,-0.18782465400773432,67.0,74.0,55.0,-0.08847479664636511,38.0,39.0,1.0
135326,Sarai Linder,Germany Women's,57.0,81.0,15.0,0.04176804630958526,95.0,99.0,23.0,-0.23584166884639396,-38.0,-18.0,-8.0
276907,Amber Tysiak,Belgium Women's,102.0,88.0,104.0,-0.17310588786966807,65.0,66.0,84.0,-0.07344495381987223,37.0,22.0,20.0
10405,Lia Wälti,Switzerland Women's,46.0,53.0,26.0,0.10329191461378122,82.0,89.0,53.0,-0.15324547677705028,-36.0,-36.0,-27.0
26094,Julia Zigiotti-Olme,Sweden Women's,35.0,42.0,17.0,0.20128403757621974,70.0,88.0,22.0,-0.09887698569854123,-35.0,-46.0,-5.0
386105,Lisa Fjeldstad Naalsund,Norway Women's,74.0,83.0,55.0,-0.03682297883315674,39.0,41.0,25.0,0.07864418487978943,35.0,42.0,30.0
46545,Carlotta Wamser,Germany Women's,66.0,37.0,115.0,0.005350427859836508,99.0,70.0,117.0,-0.36330703572306877,-33.0,-33.0,-2.0
15214,Ewa Pajor,Poland Women's,113.0,117.0,50.0,-0.29426071914433005,80.0,98.0,13.0,-0.1501962966038933,33.0,19.0,37.0
276303,Thea Bjelde,Norway Women's,54.0,64.0,25.0,0.05523451392290081,86.0,56.0,110.0,-0.17192618076626964,-32.0,8.0,-85.0
15577,Angharad James,Wales,77.0,78.0,71.0,-0.04641997888464473,45.0,58.0,24.0,0.03322429526425379,32.0,20.0,47.0
276579,Nadine Riesen,Switzerland Women's,49.0,19.0,116.0,0.08906903663140212,20.0,9.0,107.0,0.3184746001068816,29.0,10.0,9.0
31633,Oriane Jean-François,France Women's,55.0,55.0,61.0,0.04712695633862533,84.0,91.0,38.0,-0.16371363540138764,-29.0,-36.0,23.0
46885,Rebecca Knaak,Germany Women's,64.0,56.0,75.0,0.015931717705553627,36.0,38.0,19.0,0.16057710735611833,28.0,18.0,56.0
19422,Jessica Carter,England Women's,75.0,70.0,86.0,-0.03735400575130861,103.0,105.0,80.0,-0.37850700462218545,-28.0,-35.0,6.0
443269,Sydney Schertenleib,Switzerland Women's,82.0,89.0,52.0,-0.06494957366078169,54.0,61.0,59.0,-0.02010060177909281,28.0,28.0,-7.0
63788,Victoria Pelova,Netherlands Women's,3.0,1.0,11.0,0.8108926477509912,30.0,32.0,18.0,0.2161152912789301,-27.0,-31.0,-7.0
10218,Laura Giuliani,Italy Women's,100.0,111.0,68.0,-0.16672348134454482,75.0,82.0,71.0,-0.1312809642615246,25.0,29.0,-3.0
22032,Hannah Hampton,England Women's,110.0,107.0,106.0,-0.26595701823427514,85.0,94.0,30.0,-0.17151878957549155,25.0,13.0,76.0
10228,Manuela Giugliano,Italy Women's,45.0,50.0,30.0,0.11200752756389659,68.0,81.0,40.0,-0.08917036243610364,-23.0,-31.0,-10.0
10229,Emma Stina Blackstenius,Sweden Women's,41.0,48.0,27.0,0.13341596781789555,18.0,15.0,33.0,0.38671739195392296,23.0,33.0,-6.0
