metric,model_pair,n_players,spearman,kendall
total,model_A_vs_model_B,117,0.977,0.8712
total,model_A_vs_model_C,117,0.8243,0.6398
total,model_A_vs_model_ES,117,0.8167,0.6357
total,model_B_vs_model_C,117,0.8081,0.6183
total,model_B_vs_model_ES,117,0.8008,0.6118
total,model_C_vs_model_ES,117,0.9663,0.8621
offensive,model_A_vs_model_B,117,0.9776,0.8777
offensive,model_A_vs_model_C,117,0.8007,0.6148
offensive,model_A_vs_model_ES,117,0.8007,0.6139
offensive,model_B_vs_model_C,117,0.7934,0.6039
offensive,model_B_vs_model_ES,117,0.7951,0.6083
offensive,model_C_vs_model_ES,117,0.991,0.9313
defensive,model_A_vs_model_B,117,0.8887,0.725
defensive,model_A_vs_model_C,117,0.7164,0.5511
defensive,model_A_vs_model_ES,117,0.6648,0.5137
defensive,model_B_vs_model_C,117,0.7287,0.5626
defensive,model_B_vs_model_ES,117,0.6928,0.5417
defensive,model_C_vs_model_ES,117,0.7048,0.5417
