model_id,paper_name,head,n_bins,binning,ece
model_A,E-VAEP,score,5,equal_width,0.0036750867579216752
model_A,E-VAEP,score,5,adaptive,0.00365123619052185
model_A,E-VAEP,score,10,equal_width,0.0036850551411170005
model_A,E-VAEP,score,10,adaptive,0.0036512361905218496
model_A,E-VAEP,score,15,equal_width,0.003754233201266965
model_A,E-VAEP,score,15,adaptive,0.0036588539981862616
model_A,E-VAEP,score,20,equal_width,0.0037250987251089807
model_A,E-VAEP,score,20,adaptive,0.003759437076428655
model_A,E-VAEP,score,30,equal_width,0.0038032841265300283
model_A,E-VAEP,score,30,adaptive,0.0038922888238829643
model_A,E-VAEP,score,50,equal_width,0.0038509750307927095
model_A,E-VAEP,score,50,adaptive,0.004075576365709207
model_A,E-VAEP,concede,5,equal_width,0.0010752703277863097
model_A,E-VAEP,concede,5,adaptive,0.0008149876318332384
model_A,E-VAEP,concede,10,equal_width,0.001208649199472926
model_A,E-VAEP,concede,10,adaptive,0.000952135350031783
model_A,E-VAEP,concede,15,equal_width,0.0013984755926311793
model_A,E-VAEP,concede,15,adaptive,0.0009132295188600501
model_A,E-VAEP,concede,20,equal_width,0.001423336140405478
model_A,E-VAEP,concede,20,adaptive,0.0010574567088983578
model_A,E-VAEP,concede,30,equal_width,0.0014448081220560516
model_A,E-VAEP,concede,30,adaptive,0.001110847114635693
model_A,E-VAEP,concede,50,equal_width,0.001569401027126088
model_A,E-VAEP,concede,50,adaptive,0.0013403804903061077
model_B,P-VAEP,score,5,equal_width,0.003643197500071446
model_B,P-VAEP,score,5,adaptive,0.0035834210788290052
model_B,P-VAEP,score,10,equal_width,0.0038499948966913
model_B,P-VAEP,score,10,adaptive,0.003583421078829005
model_B,P-VAEP,score,15,equal_width,0.003819765544641794
model_B,P-VAEP,score,15,adaptive,0.003606110273317494
model_B,P-VAEP,score,20,equal_width,0.003855227952549862
model_B,P-VAEP,score,20,adaptive,0.0035973371766676084
model_B,P-VAEP,score,30,equal_width,0.0038499948966912983
model_B,P-VAEP,score,30,adaptive,0.0036692417192024642
model_B,P-VAEP,score,50,equal_width,0.004053874778453041
model_B,P-VAEP,score,50,adaptive,0.003993052743570675
model_B,P-VAEP,concede,5,equal_width,0.0010427701781940502
model_B,P-VAEP,concede,5,adaptive,0.0008811341337964652
model_B,P-VAEP,concede,10,equal_width,0.0011285817579807077
model_B,P-VAEP,concede,10,adaptive,0.000971742051329591
model_B,P-VAEP,concede,15,equal_width,0.0011739963454748081
model_B,P-VAEP,concede,15,adaptive,0.0010087326770427199
model_B,P-VAEP,concede,20,equal_width,0.0011936389759568435
model_B,P-VAEP,concede,20,adaptive,0.000996513560554113
model_B,P-VAEP,concede,30,equal_width,0.0012680840984542593
model_B,P-VAEP,concede,30,adaptive,0.0010802415665399601
model_B,P-VAEP,concede,50,equal_width,0.0013248275871029032
model_B,P-VAEP,concede,50,adaptive,0.0013174513110922438
model_ES,ES-VAEP,score,5,equal_width,0.0035426124107882876
model_ES,ES-VAEP,score,5,adaptive,0.0035868448590035983
model_ES,ES-VAEP,score,10,equal_width,0.0036313983200277748
model_ES,ES-VAEP,score,10,adaptive,0.003894512717738735
model_ES,ES-VAEP,score,15,equal_width,0.003678034440924492
