model_id,paper_name,strategy,n,score_auc,score_ap,score_brier,score_logloss,score_ece,score_ace,score_pos_rate,concede_auc,concede_ap,concede_brier,concede_logloss,concede_ece,concede_ace,concede_pos_rate
model_A,E-VAEP,pooled,51172,0.8251576961468312,0.29092271054963686,0.012890271588113435,0.06283732529570935,0.003754233201266965,0.0036588539981862616,0.015965762526381613,0.8372216853092199,0.1714378795009944,0.003029132505449521,0.018204304572392728,0.0013984755926311793,0.0009132295188600501,0.0034198389744391463
model_A,E-VAEP,men_only,51172,0.8213033119684997,0.2827165434961193,0.012956333702772391,0.06349303924154576,0.0041252511106323496,0.004266958287458603,0.015965762526381613,0.8344082425016598,0.15596712982447655,0.0031205340677788285,0.018659082149566894,0.0011766041659819592,0.0011479503725930172,0.0034198389744391463
model_A,E-VAEP,women_only,51172,0.8112921391535033,0.27386258527014257,0.013008099711015138,0.0643448813317579,0.003391943940387729,0.0035306488025291906,0.015965762526381613,0.8109812061773941,0.178473609756376,0.003053996795246335,0.018234659010129835,0.0010438578715743876,0.0011066806036511543,0.0034198389744391463
model_A,E-VAEP,fine_tuned,51172,0.8216854701266054,0.2850496500399824,0.01293480900998521,0.0633639670405971,0.004240177023183354,0.004098548077064474,0.015965762526381613,0.8313622930200376,0.15747310914603907,0.003136359968004775,0.018738669954103008,0.0011421656911548988,0.0012113188448496545,0.0034198389744391463
model_B,P-VAEP,pooled,51172,0.8268860369224285,0.2928779406641662,0.012893428632774297,0.0625848688331815,0.003819765544641794,0.003606110273317494,0.015965762526381613,0.8646194313951241,0.17780077097327315,0.0030415979708859594,0.0177517843693131,0.0011739963454748081,0.0010087326770427199,0.0034198389744391463
model_B,P-VAEP,men_only,51172,0.8238873642183338,0.283441677938453,0.012953845412311902,0.06326071105427035,0.003894749539387598,0.003975869391715341,0.015965762526381613,0.8233722992108778,0.14860173418744985,0.0031236282326391196,0.01893146002042341,0.0013107006937234298,0.0010289150968530016,0.0034198389744391463
model_B,P-VAEP,women_only,51172,0.8085650632042486,0.27032727577025767,0.013019550914385091,0.06470208415219912,0.0038927592088699656,0.0032252983542265788,0.015965762526381613,0.8100909577314073,0.17058702976274814,0.0030599476875921333,0.018468488541821655,0.0014075198632332898,0.0012056476249004725,0.0034198389744391463
model_B,P-VAEP,fine_tuned,51172,0.8239141386243352,0.2834723630188331,0.012953765661943891,0.06326013960981128,0.00396184587676699,0.003965976125147441,0.015965762526381613,0.8192555304373647,0.15932487517799288,0.003120044328009661,0.0189208594691049,0.0013692203779334892,0.0012358626453756066,0.0034198389744391463
model_ES,ES-VAEP,pooled,51172,0.8232058018424147,0.2924338990511853,0.012843585738240045,0.06270884622249352,0.003678034440924492,0.003977454326454471,0.015965762526381613,0.8397670451203012,0.16689899165301214,0.0030656767961166945,0.018286883578102122,0.0011102928209200255,0.0009523398977551081,0.0034198389744391463
model_ES,ES-VAEP,men_only,51172,0.8179409424420762,0.285921020960044,0.012886893193261738,0.06338105696434514,0.0036636967442579206,0.0035579657461998772,0.015965762526381613,0.836600416270985,0.16884527083017353,0.003084983586299983,0.018348715353422182,0.0011478511891635764,0.0010940989161784675,0.0034198389744391463
model_ES,ES-VAEP,women_only,51172,0.806311649953628,0.2769203488753254,0.012982054412827662,0.0645762161019687,0.003995482513938534,0.003937433511367223,0.015965762526381613,0.8100571182058328,0.1679967762596662,0.0030634519446457176,0.01899602108141293,0.0016320254460717436,0.0012846577535720765,0.0034198389744391463
model_ES,ES-VAEP,fine_tuned,51172,0.818265042798335,0.2873799115678571,0.012877119419194111,0.063279535464729,0.0036430711523810612,0.0035658222876152872,0.015965762526381613,0.82485759666535,0.15565288656121784,0.003099913360593372,0.01853115566325793,0.0012959313777137413,0.0008710072013516712,0.0034198389744391463
model_C,PS-VAEP,pooled,51172,0.8227638479160262,0.2879678311261674,0.012865432949572814,0.06294265408117074,0.0038943912923384344,0.003758895064480304,0.015965762526381613,0.8493115841548102,0.15622010194836816,0.003062603968899832,0.018184393049031605,0.0011245478259363964,0.000860458900333037,0.0034198389744391463
model_C,PS-VAEP,men_only,51172,0.8150335433598926,0.281229866643967,0.01294193715530815,0.06381447987021027,0.003813783243893687,0.00428000294816826,0.015965762526381613,0.841527876989963,0.13202650453003534,0.003194933726342675,0.01874195071481277,0.0014826704019721701,0.0011608233548493847,0.0034198389744391463
model_C,PS-VAEP,women_only,51172,0.8065399433909086,0.2798738452041283,0.012965514900078771,0.06433246057701596,0.0037123178874244414,0.0035662085044333674,0.015965762526381613,0.791371033029954,0.16067218597492045,0.0030721007519491617,0.019120359812542672,0.0014942234210085716,0.0013457207641063527,0.0034198389744391463
model_C,PS-VAEP,fine_tuned,51172,0.8167746089666671,0.28518676250939345,0.012908445872360392,0.06353035814655644,0.0037879293877808844,0.004066995090998288,0.015965762526381613,0.8353967040077988,0.16090532988273534,0.0030968792069153584,0.018889520885618207,0.001779429300203902,0.0011733643596356516,0.0034198389744391463
