x_bin,y_bin,result,phase,n_actions,observed_concede_rate,mean_p_concede_model_A,mean_p_concede_model_B,mean_p_concede_model_ES,mean_p_concede_model_C
0,1,success,build_up,38,0.0,0.0012940925653391697,0.00143310900788778,0.0017928320683398803,0.0016927699175222307
0,2,fail,build_up,33,0.0,0.002230377855150827,0.0022299793676014514,0.003921882656179699,0.0036942652148337154
0,2,success,build_up,50,0.02,0.002796885368511875,0.0019796260759954555,0.002811641360469654,0.0032452273540481487
0,3,success,build_up,112,0.0,0.002032758408406736,0.0022961676146151548,0.0025612623769250566,0.0023385747219708867
0,4,fail,build_up,37,0.0,0.0036490228592471322,0.0032193540124272153,0.0045888550474373095,0.002398498347891912
0,4,success,build_up,41,0.0,0.002095712663770571,0.002114883864650071,0.00207278337750402,0.0018928755938929936
0,5,success,build_up,42,0.023809523809523808,0.004172227114219167,0.007304407797187836,0.00981278276523174,0.009766811905973918
1,0,fail,build_up,34,0.0,0.0029868518753775695,0.0027841191563376085,0.0026881982158087933,0.003078493626910432
1,0,success,build_up,127,0.0,0.0010216268887123798,0.0012186273503079026,0.0014687991937295333,0.0015488303682365707
1,1,fail,build_up,42,0.023809523809523808,0.004046958208955932,0.0038432477824847404,0.0033793334877190266,0.0028378817661353175
1,1,success,build_up,116,0.008620689655172414,0.0010291870420687885,0.0011520096941813782,0.0014996248708488656,0.001393279095070773
1,2,fail,build_up,37,0.0,0.0035043534101005793,0.002598798669255139,0.0040969377076344885,0.008351861283066813
1,2,success,build_up,148,0.006756756756756757,0.0013103362223161454,0.0013288076859597285,0.001999562048421593,0.0021644964043973968
1,3,fail,build_up,36,0.027777777777777776,0.004162786746046379,0.004667523183386553,0.004895502564656259,0.00548605543349552
1,3,success,build_up,193,0.0,0.001484939331236641,0.001829898101458686,0.00216016970199465,0.002138952603453989
1,4,fail,build_up,49,0.0,0.007007754482060546,0.008275965000717374,0.008305904901007532,0.01098516950229412
1,4,success,build_up,172,0.0,0.003653573155621797,0.00555169659036434,0.006481298818781336,0.006225952781880712
1,5,fail,build_up,43,0.0,0.004080693159454728,0.0034392267847882913,0.0026147246295073544,0.0032027600295929473
1,5,success,build_up,127,0.007874015748031496,0.0037857034865470917,0.0047022963094747955,0.006624620187781387,0.006476629249330958
1,6,fail,build_up,34,0.029411764705882353,0.005618949224183263,0.004704628144733898,0.0047075211320085075,0.004883529725418449
1,6,success,build_up,97,0.0,0.0012994962069269884,0.001385548126124291,0.0017981899946798675,0.0015272496487587432
2,0,fail,build_up,40,0.0,0.004255150322085835,0.0037489194792994867,0.00368992928340853,0.003556899213509237
2,0,success,build_up,192,0.0,0.000807082704684049,0.0009569928384753403,0.0013460290455116566,0.0012678278031509477
2,1,fail,build_up,48,0.020833333333333332,0.003186308370748068,0.0027398974546001746,0.002794837042108143,0.0033895044697954207
2,1,success,build_up,200,0.015,0.0010161844682439998,0.0012013600453510361,0.0015767467056836681,0.0013136198853359157
2,2,fail,build_up,41,0.024390243902439025,0.004274517165379031,0.0028777541525346934,0.003481959464735502,0.0025423495146947887
2,2,success,build_up,208,0.004807692307692308,0.0009047521368520112,0.0010757794479406843,0.0014209287755098015,0.0013781856163788614
2,3,success,build_up,226,0.0,0.0009709249828173441,0.0011336062270453442,0.0015146875584640485,0.0014402661942086446
2,4,fail,build_up,50,0.0,0.007688830883734969,0.009057976485715687,0.00909129147297362,0.0111065816268542
2,4,success,build_up,257,0.0038910505836575876,0.00278416212149494,0.004162786170565376,0.0050809089603951725,0.0056131811405103595
2,5,fail,build_up,56,0.0,0.003215661783058324,0.003482269094075975,0.003763947817479757,0.003889158138770597
2,5,success,build_up,221,0.0,0.0010215273685132314,0.001110217226913154,0.0015309837282549102,0.0014239411887761934
2,6,fail,build_up,53,0.0,0.003931900564083497,0.0032239313632993036,0.0035975948958220953,0.00402778724891271
2,6,success,build_up,172,0.0,0.0011797726497032991,0.001199329858132311,0.0016641637529657438,0.001404224211189893
3,0,fail,build_up,76,0.0,0.0030603621457860053,0.00404027639542553,0.0032713382835472195,0.0036422379471464767
3,0,success,build_up,291,0.003436426116838488,0.0007834601639841815,0.0010337799248738098,0.0012708008221821855,0.0011053635042538232
3,1,fail,build_up,60,0.016666666666666666,0.004335294731582428,0.00457543226417237,0.0041175979578434805,0.003966486933676666
3,1,success,build_up,328,0.0,0.00066902334213018,0.0008845312618584467,0.0010162804235503602,0.0009921048950422124
3,2,fail,build_up,42,0.0,0.005713500816464816,0.0035038546207224013,0.003442975850454169,0.004481347003615795
3,2,success,build_up,323,0.0,0.0008864576745414787,0.0008892363192699978,0.0009548904528700799,0.0009997140420828139
3,3,fail,build_up,42,0.023809523809523808,0.0031712225839743806,0.003372713675697442,0.0032228121910042543,0.0032900991485081627
3,3,success,build_up,254,0.0,0.000941585780883608,0.0009398929931119006,0.0009869731959803159,0.0009875966064234675
3,4,fail,build_up,59,0.0,0.0027626348198914125,0.0032314331448139353,0.003347918127015696,0.0035046575479002204
3,4,success,build_up,306,0.0,0.0009635391350378555,0.0011690927302593194,0.0010261127839828093,0.0010089638918668992
3,5,fail,build_up,73,0.0136986301369863,0.0031776101786174316,0.0034230680134118056,0.00367376599605503,0.004401344428499523
3,5,success,build_up,315,0.0,0.0009206412910086283,0.001028914365414953,0.0011722962091582976,0.0010691279451647197
3,6,fail,build_up,74,0.0,0.003595070156536039,0.003944830529451301,0.0041874942539346875,0.0028021490948042195
3,6,success,build_up,211,0.004739336492890996,0.0007335401275471999,0.0009421670303156258,0.0011167744380977725,0.0010435343680145212
