player_id,player_name,rank_E_VAEP,rank_PS_VAEP,delta_rank_observed,ci_lo,ci_hi,excludes_zero,n_boot
49695.0,Emma Severini,111.0,42.0,69.0,11.0,83.0,True,699
46880.0,Giovanna Hoffmann,105.0,66.0,39.0,11.0,51.974999999999966,True,482
15214.0,Ewa Pajor,113.0,74.0,39.0,8.0,76.0,True,593
10419.0,Géraldine Reuteler,88.0,51.0,37.0,-54.0,88.0,False,788
10218.0,Laura Giuliani,100.0,65.0,35.0,11.0,45.0,True,892
15577.0,Angharad James,77.0,44.0,33.0,-6.0,53.0,False,594
276907.0,Amber Tysiak,102.0,70.0,32.0,9.0,38.0,True,560
386105.0,Lisa Fjeldstad Naalsund,74.0,45.0,29.0,12.0,37.0,True,512
46885.0,Rebecca Knaak,64.0,38.0,26.0,-2.7749999999999986,56.0,False,850
24374.0,Ingrid Syrstad Engen,87.0,63.0,24.0,5.0,30.0,True,600
276579.0,Nadine Riesen,49.0,25.0,24.0,2.0,48.0,True,564
10229.0,Emma Stina Blackstenius,41.0,18.0,23.0,1.6000000000000014,77.0,True,705
62667.0,Jennifer Miley Falk,114.0,92.0,22.0,9.425,30.0,True,778
460753.0,Iman Beney,108.0,87.0,21.0,-18.675,26.0,False,734
46224.0,Lucia Di Guglielmo,72.0,52.0,20.0,8.0,31.0,True,660
31534.0,Ella Toone,79.0,59.0,20.0,-3.0,28.0,False,836
10417.0,Viola Calligaris,116.0,99.0,17.0,0.0,17.0,False,788
62666.0,Ingrid Filippa Angeldal,20.0,3.0,17.0,1.0,46.0,True,742
10097.0,Frederikke Thøgersen,59.0,43.0,16.0,2.0,19.600000000000023,True,577
276288.0,Tuva Hansen,73.0,58.0,15.0,1.0,21.149999999999977,True,795
45295.0,Catalina Thomas Coll Lluch,92.0,78.0,14.0,2.0,16.049999999999955,True,599
402017.0,Maja Bay Østergaard,96.0,82.0,14.0,1.6750000000000007,23.0,True,588
10666.0,Dominique Johanna Anna Petrone Janssen,68.0,54.0,14.0,-4.0,26.0,False,589
10514.0,Guro Reiten,71.0,57.0,14.0,-10.024999999999999,29.0,False,600
443269.0,Sydney Schertenleib,82.0,69.0,13.0,-1.0,20.0,False,546
407639.0,Smilla Vallotto,52.0,39.0,13.0,-5.0,14.0,False,788
135217.0,Lisa Lichtfus,117.0,104.0,13.0,0.0,23.0,False,560
49972.0,Martina Lenzini,81.0,68.0,13.0,-14.0,26.0,False,688
392355.0,Oona Siren,63.0,50.0,13.0,2.0,17.0,True,602
224828.0,Anna Koivunen,103.0,90.0,13.0,2.0,20.0,True,602
10165.0,Irene Paredes Hernandez,38.0,26.0,12.0,-2.0,33.0,False,877
15619.0,Bethany Mead,48.0,36.0,12.0,-16.0,32.0,False,634
50375.0,María Méndez Fernández,60.0,48.0,12.0,-3.0,27.0,False,585
22032.0,Hannah Hampton,110.0,98.0,12.0,0.0,26.0,False,957
10222.0,Jonna Ann-Charlotte Andersson,32.0,21.0,11.0,-15.0,15.0,False,630
392291.0,Joanna Tynnilä,58.0,47.0,11.0,1.0,15.0,True,599
15287.0,Patricia Guijarro Gutiérrez,18.0,8.0,10.0,-1.0,19.0,False,940
87185.0,Stine Ballisager Pedersen,101.0,91.0,10.0,-5.0,17.0,False,588
