bin,n,mean_predicted,observed_frequency,model_id,paper_name,head
0,3405,0.0015052390478048022,0.0020558002936857563,model_A,E-VAEP,score
1,3418,0.001812436871533544,0.0017554125219426564,model_A,E-VAEP,score
2,3412,0.0022590673924772313,0.003223915592028136,model_A,E-VAEP,score
3,3411,0.0026585500011832904,0.0032248607446496626,model_A,E-VAEP,score
4,3411,0.0030857771515079096,0.0043975373790677225,model_A,E-VAEP,score
5,3412,0.003487009980991699,0.0035169988276670576,model_A,E-VAEP,score
6,3411,0.003902581836110855,0.008795074758135445,model_A,E-VAEP,score
7,3412,0.004421182628192521,0.004982415005861665,model_A,E-VAEP,score
8,3411,0.005071073248514981,0.00908824391673996,model_A,E-VAEP,score
9,3411,0.006000119433452765,0.008208736440926415,model_A,E-VAEP,score
10,3412,0.007535643792205401,0.010844079718640093,model_A,E-VAEP,score
11,3411,0.010216558206246357,0.013778950454412195,model_A,E-VAEP,score
12,3412,0.014286491589710031,0.023153575615474795,model_A,E-VAEP,score
13,3411,0.02216855490682993,0.026971562591615362,model_A,E-VAEP,score
14,3412,0.09629420011649344,0.11547479484173505,model_A,E-VAEP,score
0,3412,0.00037886902049156243,0.0,model_A,E-VAEP,concede
1,3411,0.0004159591519448525,0.0002931691586045148,model_A,E-VAEP,concede
2,3412,0.00044616178845065024,0.0005861664712778429,model_A,E-VAEP,concede
3,3411,0.0004742470173142576,0.0011726766344180592,model_A,E-VAEP,concede
4,3411,0.0005057078663498204,0.001465845793022574,model_A,E-VAEP,concede
5,3412,0.0005502242170340112,0.0,model_A,E-VAEP,concede
6,3411,0.0006227221424653607,0.0005863383172090296,model_A,E-VAEP,concede
7,3412,0.0007378728973175946,0.0020515826494724504,model_A,E-VAEP,concede
8,3411,0.0008896073547910362,0.0008795074758135445,model_A,E-VAEP,concede
9,3411,0.001055400887158595,0.001759014951627089,model_A,E-VAEP,concede
10,3412,0.0012749347303261463,0.002637749120750293,model_A,E-VAEP,concede
11,3411,0.0015794764153261045,0.003518029903254178,model_A,E-VAEP,concede
12,3412,0.0020903890612275922,0.004689331770222743,model_A,E-VAEP,concede
13,3411,0.00322725240801782,0.0055702140134857815,model_A,E-VAEP,concede
14,3412,0.025543644810794658,0.02608440797186401,model_A,E-VAEP,concede
0,3410,0.0015425224761403998,0.002346041055718475,model_B,P-VAEP,score
1,3413,0.0018869307899736115,0.0017579841781423966,model_B,P-VAEP,score
2,3412,0.0022765548040892445,0.0029308323563892145,model_B,P-VAEP,score
3,3411,0.0026702613583980926,0.0032248607446496626,model_B,P-VAEP,score
4,3411,0.003095781254390483,0.0043975373790677225,model_B,P-VAEP,score
5,3412,0.0034606193579181147,0.005275498241500586,model_B,P-VAEP,score
6,3411,0.003852369083553954,0.0038111990618586926,model_B,P-VAEP,score
7,3412,0.004357496852968423,0.008499413833528723,model_B,P-VAEP,score
8,3411,0.0050406372277621726,0.008795074758135445,model_B,P-VAEP,score
9,3411,0.0060065336258295875,0.009674582233948988,model_B,P-VAEP,score
10,3412,0.007578005586637449,0.009378663540445486,model_B,P-VAEP,score
11,3411,0.010315048241823194,0.014072119613016711,model_B,P-VAEP,score
12,3412,0.014421263008870174,0.016998827667057445,model_B,P-VAEP,score
13,3411,0.022152179862641577,0.0316622691292876,model_B,P-VAEP,score
14,3412,0.09706580921196332,0.11664712778429073,model_B,P-VAEP,score
0,310,0.0006182595822559736,0.0,model_B,P-VAEP,concede
1,6470,0.000641800082298714,0.0,model_B,P-VAEP,concede
