stratification,level,n_actions,share_pct,mean_delta_vaep,mean_delta_off,mean_delta_def,ci_lo,ci_hi,concede_auc_model_B,concede_ap_model_B,concede_auc_model_C,concede_ap_model_C
opp_dist,<2m,15565,30.41702493551161,-0.0012841909287137775,-0.0016528158945204067,0.0003686249658066295,-0.002188907038111455,-0.0004077083098848268,0.837485383350433,0.09725050966849644,0.831720126230512,0.09167351322957276
opp_dist,2-5m,16855,32.93793480809818,-0.001371389079483979,-0.0014363095391586164,6.492045967463716e-05,-0.0019254994096177635,-0.0008135688324522142,0.8437056277056277,0.10198160455836931,0.8289301948051947,0.1030517348974489
opp_dist,5-10m,11779,23.018447588524975,-0.0018787075536674358,-0.0014040490176866968,-0.00047465853598073916,-0.002860855492325994,-0.0009525692569542066,0.9073239054077071,0.42799006337283685,0.8999825067786233,0.3413073682824023
opp_dist,>10m,6899,13.481982334088954,-0.001639229793206305,-0.0017853889926069556,0.00014615919940065065,-0.002823244433012879,-0.00045840169280961636,0.8917720598924262,0.3498633651116034,0.8245021078645152,0.29244560124811403
density_5m,0,18752,36.64504025639021,-0.0017804840522591655,-0.0015379678551660587,-0.00024251619709310718,-0.002576854681755186,-0.0011076879137470077,0.902202014798966,0.40091922564628113,0.8764459959741557,0.32235342826202384
density_5m,1,21261,41.548112248886106,-0.0016580440804478782,-0.001777351502464164,0.00011930742201628567,-0.00233416046591771,-0.0010848877252947599,0.8438860327119692,0.06597514596738804,0.8224393499574487,0.07718323381239933
density_5m,2,8499,16.608692253576173,-0.0012391706116205007,-0.0015455951155715125,0.00030642450395101185,-0.0025110449183239395,-0.00014903410003507575,0.8389647495742454,0.18198117598644212,0.8329015942712928,0.18380141594448
density_5m,3+,2660,5.198155241147503,0.0010075907828693833,0.0003718821430091218,0.0006357086398602617,-0.0003374384002850291,0.00229381888666537,0.8212935968038009,0.17711562288330426,0.8770381168340352,0.09401680922343991
type,bad_touch,817,1.5965762526381615,-0.0016594471042426446,-0.001427493735020649,-0.00023195336922199558,-0.004226137471395246,0.0007674678714759881,0.55,0.009281608457352153,0.6729064039408866,0.01223026716663667
type,clearance,1172,2.290315016024388,0.00028274440338366976,-0.0025334170042366055,0.0028161614076202754,-0.0036621874732259193,0.004069821226286081,0.760374001903107,0.08014149824608338,0.6811054569525464,0.04041874582531526
type,corner_crossed,169,0.33025873524583754,0.002869158211481734,0.0011605029085671955,0.0017086553029145367,-0.006485021818783048,0.012505545867531812,,,,
