model_id,variant,calibration,head,n_eval_rows,auc,avg_precision,brier,log_loss,ece,pos_rate_pct
model_A,men_only,raw,score,60370,0.814934,0.270258,0.012409,0.061452,0.003585,1.515653
model_A,men_only,raw,concede,60370,0.829535,0.146003,0.003306,0.019636,0.001333,0.35945
model_A,men_only,isotonic,score,60370,0.81252,0.239302,0.012462,0.064152,0.003132,1.515653
model_A,men_only,isotonic,concede,60370,0.824694,0.112348,0.003265,0.01945,0.000322,0.35945
model_A,women_only,raw,score,60370,0.803314,0.260301,0.012488,0.062441,0.002981,1.515653
model_A,women_only,raw,concede,60370,0.820473,0.168348,0.00323,0.019081,0.00107,0.35945
model_A,women_only,isotonic,score,60370,0.801536,0.245077,0.012475,0.06772,0.003086,1.515653
model_A,women_only,isotonic,concede,60370,0.816383,0.13358,0.003305,0.022662,0.000545,0.35945
model_A,fine_tuned,raw,score,60370,0.815015,0.272235,0.012393,0.061354,0.003699,1.515653
model_A,fine_tuned,raw,concede,60370,0.82376,0.151712,0.003312,0.019678,0.001378,0.35945
model_A,fine_tuned,isotonic,score,60370,0.812754,0.251865,0.012488,0.063974,0.003267,1.515653
model_A,fine_tuned,isotonic,concede,60370,0.817203,0.127142,0.003256,0.020037,0.000446,0.35945
