model_id,variant,calibration,head,n_eval_rows,auc,avg_precision,brier,log_loss,ece,pos_rate_pct
model_B,men_only,raw,score,60370,0.821734,0.270038,0.012417,0.061141,0.00337,1.515653
model_B,men_only,raw,concede,60370,0.830427,0.148506,0.003287,0.019561,0.00127,0.35945
model_B,men_only,isotonic,score,60370,0.819355,0.238378,0.012503,0.064569,0.003381,1.515653
model_B,men_only,isotonic,concede,60370,0.829907,0.122355,0.003258,0.019111,0.000295,0.35945
model_B,women_only,raw,score,60370,0.800932,0.257806,0.012476,0.062714,0.003545,1.515653
model_B,women_only,raw,concede,60370,0.827865,0.170428,0.00323,0.019385,0.001596,0.35945
model_B,women_only,isotonic,score,60370,0.799076,0.239894,0.012478,0.068747,0.002981,1.515653
model_B,women_only,isotonic,concede,60370,0.825108,0.127451,0.003349,0.022729,0.0004,0.35945
model_B,fine_tuned,raw,score,60370,0.821584,0.270322,0.012415,0.061138,0.003367,1.515653
model_B,fine_tuned,raw,concede,60370,0.826466,0.148482,0.003287,0.01958,0.001361,0.35945
model_B,fine_tuned,isotonic,score,60370,0.818871,0.238674,0.012502,0.064283,0.003392,1.515653
model_B,fine_tuned,isotonic,concede,60370,0.82436,0.131666,0.00324,0.019902,0.000374,0.35945
