model_id,variant,calibration,head,n_eval_rows,auc,avg_precision,brier,log_loss,ece,pos_rate_pct
model_C,men_only,raw,score,51172,0.815034,0.28123,0.012942,0.063814,0.003814,1.596576
model_C,men_only,raw,concede,51172,0.841528,0.132027,0.003195,0.018742,0.001483,0.341984
model_C,men_only,isotonic,score,51172,0.812618,0.258297,0.013009,0.066094,0.003898,1.596576
model_C,men_only,isotonic,concede,51172,0.839478,0.122191,0.003112,0.01814,0.000555,0.341984
model_C,women_only,raw,score,51172,0.80654,0.279874,0.012966,0.064332,0.003712,1.596576
model_C,women_only,raw,concede,51172,0.791371,0.160672,0.003072,0.01912,0.001494,0.341984
model_C,women_only,isotonic,score,51172,0.804516,0.266559,0.012951,0.067084,0.003023,1.596576
model_C,women_only,isotonic,concede,51172,0.785143,0.132618,0.003111,0.020664,0.000473,0.341984
model_C,fine_tuned,raw,score,51172,0.816775,0.285187,0.012908,0.06353,0.003788,1.596576
model_C,fine_tuned,raw,concede,51172,0.835397,0.160905,0.003097,0.01889,0.001779,0.341984
model_C,fine_tuned,isotonic,score,51172,0.814512,0.264068,0.012981,0.068182,0.003853,1.596576
model_C,fine_tuned,isotonic,concede,51172,0.830939,0.131863,0.00308,0.018984,0.000325,0.341984
