model_id,variant,calibration,head,n_eval_rows,auc,avg_precision,brier,log_loss,ece,pos_rate_pct
model_ES,men_only,raw,score,51172,0.817941,0.285921,0.012887,0.063381,0.003664,1.596576
model_ES,men_only,raw,concede,51172,0.8366,0.168845,0.003085,0.018349,0.001148,0.341984
model_ES,men_only,isotonic,score,51172,0.814167,0.258898,0.012947,0.065938,0.003563,1.596576
model_ES,men_only,isotonic,concede,51172,0.833005,0.145575,0.003065,0.019018,0.000229,0.341984
model_ES,women_only,raw,score,51172,0.806312,0.27692,0.012982,0.064576,0.003995,1.596576
model_ES,women_only,raw,concede,51172,0.810057,0.167997,0.003063,0.018996,0.001632,0.341984
model_ES,women_only,isotonic,score,51172,0.80352,0.261221,0.012997,0.066291,0.003558,1.596576
model_ES,women_only,isotonic,concede,51172,0.808941,0.137626,0.003128,0.020873,0.000601,0.341984
model_ES,fine_tuned,raw,score,51172,0.818265,0.28738,0.012877,0.06328,0.003643,1.596576
model_ES,fine_tuned,raw,concede,51172,0.824858,0.155653,0.0031,0.018531,0.001296,0.341984
model_ES,fine_tuned,isotonic,score,51172,0.817442,0.261343,0.012957,0.064586,0.003562,1.596576
model_ES,fine_tuned,isotonic,concede,51172,0.80893,0.124815,0.003105,0.022031,0.000378,0.341984
